ar,cz,norm,cat_id,root_id,stem,stem_vowel,plural,masdar,val,transcription,meaning_variant,synonyms_ids,tags_ids,examples_ids,source_ids,disabled
مُقابِلٌ,"protistojící, protilehlý",,[1],151,,,,,,muqābilun,,,,,[20],false
قارّة,kontinent,,,201,,,,,,,,,[22],,[20],false
قُوّة,síla,,,470,,,,,,,,,[50],,[20],false
لَجْنَة (لَجَان),"komise, výbor",,[9],523,,,,,,"laǧnatun, liǧānun",,,[50],,"[17,20]",false
هَدَفٌ (أهْدَاف),cíl,,[9],524,,,,,,"hadafun, ahdāfun",,,[50],,"[17,20]",false
إذْ أنَّ,neboť,,[8],525,,,,,,idh anna,,,,,"[17,20]",false
أطلانطا,Atlanta,,,87,,,,,,,,,[40],,[20],false
أتينا,Athény,,,87,,,,,,,,,[40],,[20],false
أستراليا,Austrálie,,,87,,,,,,,,,"[18,71,74]",,[20],false
أطلسي,"atlantský, atlantický",,"[1,2]",87,,,,,,,,,[22],,[20],false
إندونيسيا,Indonésie,,,87,,,,,,,,,"[18,22,71,74]",,[20],false
أولمبي,Olympijský,,[1],87,,,,,,,,,"[22,40]",,[20],false
